GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-shoping,com.mabc,App,99,0,0,0,20,0,2,0,2,0
e-shoping,com.mabc.infrastructure.persistence.jpa,ProductEntityMapper,175,0,6,0,42,0,7,0,4,0
e-shoping,com.mabc.infrastructure.persistence.jpa,JpaCategoryRepository,90,0,2,0,17,0,10,0,9,0
e-shoping,com.mabc.infrastructure.persistence.jpa,JpaCartRepository,132,0,4,0,31,0,9,0,7,0
e-shoping,com.mabc.infrastructure.persistence.jpa,JpaProductRepository,41,0,0,0,10,0,6,0,6,0
e-shoping,com.mabc.infrastructure.persistence.jpa,JpaMarkRepository,80,0,2,0,16,0,9,0,8,0
e-shoping,com.mabc.domain.valueobject,Quantity,0,13,0,2,0,4,0,2,0,1
e-shoping,com.mabc.domain.valueobject,Name,0,19,0,4,0,5,0,3,0,1
e-shoping,com.mabc.domain.valueobject,Weight,0,15,0,2,0,4,0,2,0,1
e-shoping,com.mabc.domain.valueobject,Price,0,15,0,2,0,4,0,2,0,1
e-shoping,com.mabc.domain.valueobject,Description,0,19,0,4,0,5,0,3,0,1
e-shoping,com.mabc.domain.valueobject,Stock,0,13,0,2,0,4,0,2,0,1
e-shoping,com.mabc.infrastructure.persistence.inmemory,InMemoryMarkRepository,11,31,0,0,3,6,2,4,2,4
e-shoping,com.mabc.infrastructure.persistence.inmemory,InMemoryCartRepository,0,32,0,0,0,6,0,4,0,4
e-shoping,com.mabc.infrastructure.persistence.inmemory,InMemoryProductRepository,11,31,0,0,3,6,2,4,2,4
e-shoping,com.mabc.infrastructure.persistence.inmemory,InMemoryCategoryRepository,11,44,0,0,3,7,2,5,2,5
e-shoping,com.mabc.infrastructure.persistence.entity,MarkEntity,36,0,0,0,16,0,8,0,8,0
e-shoping,com.mabc.infrastructure.persistence.entity,ProductEntity,71,0,0,0,30,0,19,0,19,0
e-shoping,com.mabc.infrastructure.persistence.entity,CartEntity,36,0,0,0,15,0,9,0,9,0
e-shoping,com.mabc.infrastructure.persistence.entity,CategoryEntity,36,0,0,0,16,0,8,0,8,0
e-shoping,com.mabc.infrastructure.persistence.entity,CartItemEntity,38,0,0,0,17,0,11,0,11,0
e-shoping,com.mabc.domain.exception,InvalidNameException,0,4,0,0,0,2,0,1,0,1
e-shoping,com.mabc.domain.exception,InvalidWeightException,0,4,0,0,0,2,0,1,0,1
e-shoping,com.mabc.domain.exception,InvalidStockException,0,4,0,0,0,2,0,1,0,1
e-shoping,com.mabc.domain.exception,InvalidQuantityException,0,4,0,0,0,2,0,1,0,1
e-shoping,com.mabc.domain.exception,InvalidDescriptionException,0,4,0,0,0,2,0,1,0,1
e-shoping,com.mabc.domain.exception,DomainException,0,4,0,0,0,2,0,1,0,1
e-shoping,com.mabc.domain.exception,InvalidPriceException,0,4,0,0,0,2,0,1,0,1
e-shoping,com.mabc.domain.entity,Product,17,142,1,5,4,30,5,14,4,12
e-shoping,com.mabc.domain.entity,Cart,0,86,0,2,0,22,0,8,0,7
e-shoping,com.mabc.domain.entity,Mark,0,42,0,0,0,14,0,7,0,7
e-shoping,com.mabc.domain.entity,CartItem,39,33,0,0,8,7,5,2,5,2
e-shoping,com.mabc.domain.entity,Category,0,42,0,0,0,14,0,7,0,7
e-shoping,com.mabc.application.usecase,CreateCartUseCase,0,33,0,0,0,8,0,3,0,3
e-shoping,com.mabc.application.usecase,CreateProductUseCase,5,132,1,5,0,23,2,6,1,4
e-shoping,com.mabc.application.usecase,SaveCategoryUseCase,5,57,0,4,0,17,1,5,1,3
e-shoping,com.mabc.application.usecase,SaveMarkUseCase,5,57,0,4,0,17,1,5,1,3
e-shoping,com.mabc.application.usecase,AddItemToCartUseCase,0,48,0,0,0,10,0,4,0,4
